EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0000,MEASURE VIA CD
valid_0001,DRIVE IN DIFFUSION
valid_0002,MEASURE VIA CD
valid_0003,ETCH WET BACKSIDE
valid_0004,CLEAN AFTER VIA ETCH
valid_0005,ETCH SILICON OR OXIDE WINDOW
valid_0006,MEASURE VIA CD
valid_0007,ETCH SILICON OR OXIDE WINDOW
valid_0008,CLEAN AFTER VIA ETCH
valid_0009,STRIP RESIST
valid_0010,DEPOSIT BARRIER METAL
valid_0011,MEASURE RESISTIVITY
valid_0012,STRIP RESIST
valid_0013,STRIP RESIST
valid_0014,CLEAN AFTER VIA ETCH
valid_0015,CLEAN AFTER WINDOW ETCH
valid_0016,MEASURE VIA CD
valid_0017,ETCH SILICON OR OXIDE WINDOW
valid_0018,CLEAN AFTER VIA ETCH
valid_0019,STRIP PHOTORESIST
valid_0020,CLEAN AFTER VIA ETCH
valid_0021,STRIP RESIST
valid_0022,DEPOSIT BARRIER METAL
valid_0023,STRIP RESIST
valid_0024,MEASURE VIA CD
valid_0025,STRIP RESIST
valid_0026,MEASURE VIA CD
valid_0027,STRIP RESIST
valid_0028,DEPOSIT BARRIER METAL
valid_0029,STRIP RESIST
valid_0030,MEASURE VIA CD
valid_0031,CLEAN AFTER METAL ETCH
valid_0032,MEASURE VIA CD
valid_0033,ETCH WET BACKSIDE
valid_0034,MEASURE VIA CD
valid_0035,DEVELOP PAD WINDOW
valid_0036,MEASURE VIA CD
valid_0037,VIA ETCH THROUGH DIELECTRIC
valid_0038,MEASURE VIA CD
valid_0039,STRIP PHOTORESIST
valid_0040,CLEAN AFTER VIA ETCH
valid_0041,ETCH SILICON OR OXIDE WINDOW
valid_0042,STRIP PHOTORESIST
valid_0043,STRIP RESIST
valid_0044,STRIP RESIST
valid_0045,ETCH SILICON OR OXIDE WINDOW
valid_0046,CLEAN AFTER VIA ETCH
valid_0047,STRIP RESIST
valid_0048,HARD BAKE
valid_0049,ETCH WET BACKSIDE
valid_0050,HARD BAKE
valid_0051,DRIVE IN DIFFUSION
valid_0052,MEASURE VIA CD
valid_0053,STRIP PHOTORESIST
valid_0054,MEASURE VIA CD
valid_0055,STRIP RESIST
valid_0056,MEASURE VIA CD
valid_0057,STRIP RESIST
valid_0058,ANNEAL DIELECTRIC
valid_0059,VIA ETCH THROUGH DIELECTRIC
valid_0060,MEASURE VIA CD
valid_0061,CLEAN AFTER METAL ETCH
valid_0062,MEASURE VIA CD
valid_0063,CLEAN AFTER METAL ETCH
valid_0064,IMPLANT SOURCE DRAIN
valid_0065,ETCH SILICON OR OXIDE WINDOW
valid_0066,MEASURE VIA CD
valid_0067,ETCH SILICON OR OXIDE WINDOW
valid_0068,MEASURE VIA CD
valid_0069,ETCH SILICON OR OXIDE WINDOW
valid_0070,CLEAN AFTER VIA ETCH
valid_0071,CLEAN AFTER METAL ETCH
valid_0072,DEPOSIT BARRIER METAL
valid_0073,STRIP RESIST
valid_0074,CLEAN AFTER VIA ETCH
valid_0075,HARD BAKE
valid_0076,MEASURE VIA CD
valid_0077,STRIP RESIST
valid_0078,MEASURE VIA CD
valid_0079,STRIP RESIST
valid_0080,MEASURE VIA CD
valid_0081,STRIP RESIST
valid_0082,STRIP PHOTORESIST
valid_0083,ETCH SILICON OR OXIDE WINDOW
valid_0084,DEPOSIT BARRIER METAL
valid_0085,ETCH SILICON OR OXIDE WINDOW
valid_0086,ANNEAL DIELECTRIC
valid_0087,CLEAN AFTER WINDOW ETCH
valid_0088,MEASURE VIA CD
valid_0089,STRIP PHOTORESIST
valid_0090,DEPOSIT BARRIER METAL
valid_0091,STRIP RESIST
valid_0092,ANNEAL METAL
valid_0093,MEASURE WINDOW CD
valid_0094,METAL ETCH
valid_0095,DRIVE IN DIFFUSION
valid_0096,MEASURE VIA CD
valid_0097,STRIP RESIST
valid_0098,CLEAN AFTER VIA ETCH
valid_0099,ETCH SILICON OR OXIDE WINDOW
valid_0100,CLEAN AFTER VIA ETCH
valid_0101,ETCH SILICON OR OXIDE WINDOW
valid_0102,MEASURE VIA CD
valid_0103,DRIVE IN DIFFUSION
valid_0104,STRIP PHOTORESIST
valid_0105,ETCH SILICON OR OXIDE WINDOW
valid_0106,DEPOSIT BARRIER METAL
valid_0107,STRIP RESIST
valid_0108,STRIP RESIST
valid_0109,ETCH SILICON OR OXIDE WINDOW
valid_0110,ANNEAL DIELECTRIC
valid_0111,STRIP PHOTORESIST
valid_0112,MEASURE VIA CD
valid_0113,STRIP RESIST
valid_0114,DEPOSIT BARRIER METAL
valid_0115,STRIP RESIST
valid_0116,STRIP PHOTORESIST
valid_0117,ETCH SILICON OR OXIDE WINDOW
valid_0118,MEASURE VIA CD
valid_0119,ETCH SILICON OR OXIDE WINDOW
valid_0120,MEASURE VIA CD
valid_0121,DRIVE IN DIFFUSION
valid_0122,CLEAN AFTER VIA ETCH
valid_0123,ETCH SILICON OR OXIDE WINDOW
valid_0124,DEPOSIT BARRIER METAL
valid_0125,CLEAN AFTER WINDOW ETCH
valid_0126,STRIP RESIST
valid_0127,ETCH SILICON OR OXIDE WINDOW
valid_0128,MEASURE WAFER THICKNESS
valid_0129,CLEAN AFTER WINDOW ETCH
valid_0130,STRIP PHOTORESIST
valid_0131,ETCH SILICON OR OXIDE WINDOW
valid_0132,CLEAN AFTER VIA ETCH
valid_0133,ETCH SILICON OR OXIDE WINDOW
valid_0134,MEASURE VIA CD
valid_0135,CLEAN AFTER WINDOW ETCH
valid_0136,MEASURE VIA CD
valid_0137,ETCH SILICON OR OXIDE WINDOW
valid_0138,DEPOSIT BARRIER METAL
valid_0139,STRIP RESIST
valid_0140,MEASURE VIA CD
valid_0141,ETCH WET BACKSIDE
valid_0142,MEASURE VIA CD
valid_0143,CLEAN AFTER METAL ETCH
valid_0144,ANNEAL METAL
valid_0145,STRIP RESIST
valid_0146,CLEAN AFTER VIA ETCH
valid_0147,ETCH SILICON OR OXIDE WINDOW
valid_0148,CLEAN AFTER VIA ETCH
valid_0149,STRIP RESIST
valid_0150,ANNEAL DIELECTRIC
valid_0151,STRIP RESIST
valid_0152,CLEAN AFTER VIA ETCH
valid_0153,ETCH WET BACKSIDE
valid_0154,CLEAN AFTER VIA ETCH
valid_0155,STRIP PHOTORESIST
valid_0156,MEASURE VIA CD
valid_0157,ETCH SILICON OR OXIDE WINDOW
valid_0158,CLEAN AFTER VIA ETCH
valid_0159,STRIP RESIST
valid_0160,MEASURE VIA CD
valid_0161,STRIP RESIST
valid_0162,MEASURE VIA CD
valid_0163,ETCH SILICON OR OXIDE WINDOW
valid_0164,CLEAN AFTER VIA ETCH
valid_0165,STRIP PHOTORESIST
valid_0166,MEASURE VIA CD
valid_0167,DRIVE IN DIFFUSION
valid_0168,CLEAN AFTER VIA ETCH
valid_0169,ETCH SILICON OR OXIDE WINDOW
valid_0170,CLEAN AFTER VIA ETCH
valid_0171,ETCH SILICON OR OXIDE WINDOW
valid_0172,MEASURE VIA CD
valid_0173,ETCH SILICON OR OXIDE WINDOW
valid_0174,CLEAN AFTER VIA ETCH
valid_0175,STRIP RESIST
valid_0176,CLEAN AFTER VIA ETCH
valid_0177,ETCH WET BACKSIDE
valid_0178,DEPOSIT BARRIER METAL
valid_0179,STRIP RESIST
valid_0180,MEASURE VIA CD
valid_0181,STRIP RESIST
valid_0182,CLEAN AFTER VIA ETCH
valid_0183,ETCH WET BACKSIDE
valid_0184,MEASURE VIA CD
valid_0185,STRIP RESIST
valid_0186,MEASURE VIA CD
valid_0187,STRIP RESIST
valid_0188,ANNEAL DIELECTRIC
