EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0000,MEASURE VIA CD
valid_0001,ETCH SILICON OR OXIDE WINDOW
valid_0002,MEASURE VIA CD
valid_0003,ETCH SILICON OR OXIDE WINDOW
valid_0004,CLEAN AFTER VIA ETCH
valid_0005,ALIGN MASK LEVEL 5
valid_0006,MEASURE VIA CD
valid_0007,ETCH SILICON OR OXIDE WINDOW
valid_0008,MEASURE VIA CD
valid_0009,STRIP RESIST
valid_0010,MEASURE DIELECTRIC THICKNESS
valid_0011,ALIGN MASK LEVEL 5
valid_0012,STRIP RESIST
valid_0013,STRIP RESIST
valid_0014,CLEAN AFTER VIA ETCH
valid_0015,CLEAN AFTER WINDOW ETCH
valid_0016,DRIVE IN DIFFUSION
valid_0017,ETCH SILICON OR OXIDE WINDOW
valid_0018,CLEAN AFTER VIA ETCH
valid_0019,DEPOSIT PASSIVATION
valid_0020,CLEAN AFTER VIA ETCH
valid_0021,DEPOSIT PASSIVATION
valid_0022,DEPOSIT BARRIER METAL
valid_0023,DEPOSIT PASSIVATION
valid_0024,MEASURE VIA CD
valid_0025,STRIP RESIST
valid_0026,MEASURE VIA CD
valid_0027,STRIP RESIST
valid_0028,IMPLANT LDD
valid_0029,DEPOSIT PASSIVATION
valid_0030,MEASURE VIA CD
valid_0031,CLEAN AFTER WINDOW ETCH
valid_0032,MEASURE VIA CD
valid_0033,ALIGN MASK LEVEL 5
valid_0034,MEASURE VIA CD
valid_0035,ALIGN MASK LEVEL 5
valid_0036,MEASURE VIA CD
valid_0037,ETCH SILICON OR OXIDE WINDOW
valid_0038,MEASURE VIA CD
valid_0039,STRIP RESIST
valid_0040,CLEAN AFTER VIA ETCH
valid_0041,ETCH SILICON OR OXIDE WINDOW
valid_0042,STRIP RESIST
valid_0043,DEPOSIT PASSIVATION
valid_0044,DRIVE IN DIFFUSION
valid_0045,ALIGN MASK LEVEL 5
valid_0046,CLEAN AFTER VIA ETCH
valid_0047,STRIP RESIST
valid_0048,DEVELOP PHOTORESIST
valid_0049,ETCH SILICON OR OXIDE WINDOW
valid_0050,DEVELOP PHOTORESIST
valid_0051,ETCH SILICON OR OXIDE WINDOW
valid_0052,MEASURE VIA CD
valid_0053,STRIP RESIST
valid_0054,MEASURE VIA CD
valid_0055,DEPOSIT PASSIVATION
valid_0056,MEASURE VIA CD
valid_0057,STRIP RESIST
valid_0058,ANNEAL POLYSILICON
valid_0059,ALIGN MASK LEVEL 5
valid_0060,MEASURE VIA CD
valid_0061,CLEAN AFTER WINDOW ETCH
valid_0062,MEASURE VIA CD
valid_0063,CLEAN AFTER WINDOW ETCH
valid_0064,DEPOSIT BARRIER METAL
valid_0065,ETCH SILICON OR OXIDE WINDOW
valid_0066,STRIP RESIST
valid_0067,ALIGN MASK LEVEL 5
valid_0068,MEASURE VIA CD
valid_0069,ETCH SILICON OR OXIDE WINDOW
valid_0070,MEASURE VIA CD
valid_0071,CLEAN AFTER WINDOW ETCH
valid_0072,MEASURE DIELECTRIC THICKNESS
valid_0073,STRIP RESIST
valid_0074,CLEAN AFTER VIA ETCH
valid_0075,ETCH SILICON OR OXIDE WINDOW
valid_0076,MEASURE VIA CD
valid_0077,STRIP RESIST
valid_0078,MEASURE VIA CD
valid_0079,STRIP RESIST
valid_0080,MEASURE VIA CD
valid_0081,STRIP RESIST
valid_0082,MEASURE VIA CD
valid_0083,ALIGN MASK LEVEL 5
valid_0084,DEPOSIT BARRIER METAL
valid_0085,ALIGN MASK LEVEL 5
valid_0086,ANNEAL METAL
valid_0087,CLEAN AFTER WINDOW ETCH
valid_0088,MEASURE VIA CD
valid_0089,DEPOSIT PASSIVATION
valid_0090,DEPOSIT BARRIER METAL
valid_0091,STRIP RESIST
valid_0092,ANNEAL METAL
valid_0093,MEASURE WINDOW CD
valid_0094,POLYSILICON ETCH
valid_0095,ETCH SILICON OR OXIDE WINDOW
valid_0096,MEASURE VIA CD
valid_0097,DEPOSIT PASSIVATION
valid_0098,CLEAN AFTER VIA ETCH
valid_0099,ETCH SILICON OR OXIDE WINDOW
valid_0100,MEASURE VIA CD
valid_0101,ETCH SILICON OR OXIDE WINDOW
valid_0102,MEASURE VIA CD
valid_0103,ETCH SILICON OR OXIDE WINDOW
valid_0104,STRIP RESIST
