EXAMPLE_ID,PREDICTED_SEQUENCE
valid_0000,MEASURE VIA CD
valid_0001,ETCH SILICON OR OXIDE WINDOW
valid_0002,MEASURE VIA CD
valid_0003,MEASURE WINDOW CD
valid_0004,MEASURE VIA CD
valid_0005,MEASURE WINDOW CD
valid_0006,MEASURE VIA CD
valid_0007,ETCH SILICON OR OXIDE WINDOW
valid_0008,MEASURE VIA CD
valid_0009,MEASURE WINDOW CD
valid_0010,DEPOSIT PAD OXIDE
valid_0011,ETCH SILICON OR OXIDE WINDOW
valid_0012,DEPOSIT PAD OXIDE
valid_0013,PASSIVATION ETCH
valid_0014,MEASURE VIA CD
valid_0015,PASSIVATION ETCH
valid_0016,DEPOSIT PAD OXIDE
valid_0017,MEASURE WINDOW CD
valid_0018,MEASURE VIA CD
valid_0019,MEASURE WINDOW CD
valid_0020,MEASURE VIA CD
valid_0021,MEASURE WINDOW CD
valid_0022,DEPOSIT PAD OXIDE
valid_0023,MEASURE WINDOW CD
valid_0024,MEASURE VIA CD
valid_0025,MEASURE WINDOW CD
valid_0026,MEASURE VIA CD
valid_0027,STRIP RESIST
valid_0028,DEPOSIT PAD OXIDE
valid_0029,MEASURE WINDOW CD
valid_0030,MEASURE VIA CD
valid_0031,MEASURE WINDOW CD
valid_0032,MEASURE VIA CD
valid_0033,ETCH SILICON OR OXIDE WINDOW
valid_0034,MEASURE VIA CD
valid_0035,ETCH SILICON OR OXIDE WINDOW
valid_0036,MEASURE VIA CD
valid_0037,MEASURE WINDOW CD
valid_0038,MEASURE VIA CD
valid_0039,MEASURE WINDOW CD
valid_0040,MEASURE VIA CD
valid_0041,ETCH SILICON OR OXIDE WINDOW
valid_0042,STRIP PHOTORESIST
valid_0043,MEASURE WINDOW CD
valid_0044,DEPOSIT PAD OXIDE
valid_0045,ETCH SILICON OR OXIDE WINDOW
valid_0046,MEASURE VIA CD
valid_0047,MEASURE WINDOW CD
valid_0048,OXIDE ETCH
valid_0049,ETCH SILICON OR OXIDE WINDOW
valid_0050,OXIDE ETCH
valid_0051,ETCH SILICON OR OXIDE WINDOW
valid_0052,MEASURE VIA CD
valid_0053,MEASURE WINDOW CD
valid_0054,MEASURE VIA CD
valid_0055,MEASURE WINDOW CD
valid_0056,MEASURE VIA CD
valid_0057,MEASURE WINDOW CD
valid_0058,MEASURE EPITAXY THICKNESS
valid_0059,MEASURE WINDOW CD
valid_0060,MEASURE VIA CD
valid_0061,MEASURE WINDOW CD
valid_0062,MEASURE VIA CD
valid_0063,PASSIVATION ETCH
valid_0064,DEPOSIT PAD OXIDE
valid_0065,ETCH SILICON OR OXIDE WINDOW
valid_0066,MEASURE VIA CD
valid_0067,ETCH SILICON OR OXIDE WINDOW
valid_0068,MEASURE VIA CD
valid_0069,MEASURE WINDOW CD
valid_0070,MEASURE VIA CD
valid_0071,PASSIVATION ETCH
valid_0072,DEPOSIT PAD OXIDE
valid_0073,MEASURE WINDOW CD
valid_0074,MEASURE VIA CD
valid_0075,MEASURE WINDOW CD
valid_0076,MEASURE VIA CD
valid_0077,PASSIVATION ETCH
valid_0078,MEASURE VIA CD
valid_0079,MEASURE WINDOW CD
valid_0080,MEASURE VIA CD
valid_0081,MEASURE WINDOW CD
valid_0082,MEASURE VIA CD
valid_0083,ETCH SILICON OR OXIDE WINDOW
valid_0084,DEPOSIT PAD OXIDE
valid_0085,ETCH SILICON OR OXIDE WINDOW
valid_0086,DIELECTRIC ETCH VIA
valid_0087,MEASURE WINDOW CD
valid_0088,MEASURE VIA CD
valid_0089,MEASURE WINDOW CD
valid_0090,DEPOSIT PAD OXIDE
valid_0091,MEASURE WINDOW CD
valid_0092,ANNEAL METAL
valid_0093,MEASURE WINDOW CD
valid_0094,DEVELOP PHOTORESIST
valid_0095,ETCH SILICON OR OXIDE WINDOW
valid_0096,MEASURE VIA CD
valid_0097,MEASURE WINDOW CD
valid_0098,MEASURE VIA CD
valid_0099,ETCH SILICON OR OXIDE WINDOW
valid_0100,MEASURE VIA CD
valid_0101,ETCH SILICON OR OXIDE WINDOW
valid_0102,MEASURE VIA CD
valid_0103,ETCH SILICON OR OXIDE WINDOW
valid_0104,MEASURE VIA CD
valid_0105,MEASURE WINDOW CD
valid_0106,IMPLANT N-TYPE
